27.01.2018 00:20:26: TOKEN [qaj4vx6wj5nkt418sx] FOR reinnss(76561198120447448) OWNER: 11, ID: 1.34843e+009, JIP: true
27.01.2018 11:13:10: TOKEN [sxom3welveqbx5] FOR Joe(76561197971543211) OWNER: 3, ID: 1.65338e+009, JIP: true
27.01.2018 11:17:29: TOKEN [vvfgj1rnsbxx3ppfxt] FOR Wyvern(76561198117148413) OWNER: 5, ID: 1.88008e+009, JIP: true
27.01.2018 11:28:00: TOKEN [a1miq8m3fyesf1nug] FOR Chibs(76561198094654051) OWNER: 6, ID: 8.68966e+007, JIP: true
27.01.2018 11:35:26: TOKEN [x8k4nxvcrpb6vhd] FOR ukan3(76561197994151246) OWNER: 7, ID: 1.11642e+009, JIP: true
27.01.2018 11:36:04: TOKEN [c8nv6pp0znzvbr0db] FOR HAM(76561198041947103) OWNER: 8, ID: 2.31056e+008, JIP: true
27.01.2018 11:47:01: TOKEN [e3oszg23tk0cnyp] FOR DARK WIZARD(76561197975935563) OWNER: 9, ID: 3.8534e+008, JIP: true
27.01.2018 11:48:17: TOKEN [ha1f2juziieajej] FOR Joe(76561197971543211) OWNER: 10, ID: 1.64283e+009, JIP: true
27.01.2018 11:53:07: TOKEN [es0mpecfcv3z20ymefi] FOR Chibs(76561198094654051) OWNER: 11, ID: 1.62423e+009, JIP: true
27.01.2018 12:32:58: TOKEN [lsg864sed3qw80y25y] FOR Drazah(76561198075056795) OWNER: 12, ID: 5.43525e+008, JIP: true
27.01.2018 12:34:51: TOKEN [s845bjoedpipbmswm] FOR Scott(76561198016299112) OWNER: 13, ID: 7.88576e+008, JIP: true
27.01.2018 13:46:12: TOKEN [clzahzd1mjob2mslzr9] FOR Joe(76561197971543211) OWNER: 14, ID: 7.56593e+007, JIP: true
27.01.2018 14:00:57: TOKEN [yirl31xi56nhen] FOR Joe(76561197971543211) OWNER: 15, ID: 9.82373e+008, JIP: true
27.01.2018 14:10:41: TOKEN [k5hwk5f28t4u324] FOR Joe(76561197971543211) OWNER: 16, ID: 1.59321e+009, JIP: true
27.01.2018 14:19:40: TOKEN [w57uc6uz28h6ggdtm] FOR Avriality(76561198021846681) OWNER: 18, ID: 1.4925e+009, JIP: true
27.01.2018 14:19:42: TOKEN [wayzo32nueg6c74n9] FOR D4_Cador(76561198077567121) OWNER: 17, ID: 8.38611e+007, JIP: true
27.01.2018 14:23:15: TOKEN [eb8aa9m1ez7z9nrt] FOR Scott(76561198016299112) OWNER: 19, ID: 8.51927e+008, JIP: true
27.01.2018 15:15:45: TOKEN [icsxbximmccsnt] FOR DriftWood(76561197994641119) OWNER: 3, ID: 1.20685e+009, JIP: true
27.01.2018 15:18:16: TOKEN [b9t577u6ik3vabq35y] FOR Scott(76561198016299112) OWNER: 4, ID: 1.98367e+009, JIP: true
27.01.2018 15:23:47: TOKEN [nt437dodo7j9x5] FOR DriftWood(76561197994641119) OWNER: 3, ID: 1.68819e+009, JIP: true
